,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,China,562369.0,2376080.0,2454164.0,2629515.0,2582985.0,2579892.0,2603131.0,2690505.0,2913641.0,2960119.0,2991349.0,3070837.0,3261345.0,3360675.0,3651192.0,4083803.0,4489345.0,5084502.0,5485384.0,5925780.0,6321467.0,7074310.0,7796902.0,8381718.0,9126200.0,9914405.0,10070018.0,10710443.0,11364738.0,12089637.0
1,India,688100.0,3132000.0,3279000.0,3060000.0,3274000.0,3278000.0,3287000.0,3391000.0,3522000.0,3800000.0,3591000.0,3683000.0,3713000.0,3678000.0,3822000.0,3943000.0,4126000.0,4230000.0,4291000.0,4229000.0,4309000.0,4763000.0,4935000.0,5256000.0,5249000.0,5361000.0,5437000.0,5761000.0,5820000.0,6044000.0
2,Kenya,197000.0,885000.0,818000.0,918000.0,911000.0,1063000.0,1118000.0,960000.0,1279000.0,1081000.0,1027000.0,1281000.0,1248000.0,1277000.0,1411000.0,1428000.0,1350000.0,1607000.0,1503000.0,1366000.0,1735000.0,1643000.0,1606000.0,1880000.0,1935000.0,1735000.0,2057000.0,1912000.0,2143000.0,1995000.0
3,Sri Lanka,233165.0,1047000.0,778000.0,1008000.0,1053000.0,1069000.0,1124000.0,1204000.0,1218000.0,1234000.0,1330000.0,1283000.0,1348000.0,1318000.0,1340000.0,1379000.0,1351000.0,1327000.0,1386000.0,1261000.0,1441000.0,1424000.0,1435000.0,1479000.0,1470000.0,1444000.0,1272000.0,1338000.0,1321000.0,1305000.0
4,Türkiye,122754.0,682858.0,724383.0,578500.0,654000.0,523465.0,600000.0,752000.0,978589.0,1095532.0,758038.0,824946.0,791700.0,869000.0,1105000.0,1192004.0,1121206.0,1145321.0,1100257.0,1103340.0,1305566.0,1231141.0,1250000.0,1180000.0,1266311.0,1327934.0,1350000.0,1300000.0,1480534.0,1407448.0
5,Indonesia,155919.0,607000.0,668000.0,717000.0,605000.0,670000.0,723000.0,668000.0,725000.0,700000.0,707000.0,726000.0,718000.0,738000.0,727000.0,727000.0,639000.0,655000.0,669000.0,682000.0,654000.0,637000.0,624000.0,634000.0,671000.0,577000.0,626000.0,636000.0,610000.0,560000.0
6,Viet Nam,32247.0,142400.0,155700.0,162200.0,180600.0,172900.0,201300.0,224500.0,243400.0,302400.0,300600.0,325600.0,405200.0,448600.0,513800.0,570000.0,648900.0,705900.0,746200.0,771000.0,834600.0,879079.0,909729.0,936424.0,982210.0,1012915.5,1033767.15,1121065.9,1081166.0,1017619.03
7,Argentina,50505.0,200000.0,202000.0,238000.0,222000.0,224000.0,205000.0,235000.0,248000.0,243000.0,323000.0,309000.0,306000.0,304000.0,306000.0,295000.0,314000.0,330000.0,348000.0,312000.0,402000.0,404000.0,360000.0,350000.0,361000.0,359000.0,370000.0,354000.0,360000.0,362000.0
8,Bangladesh,39075.0,196000.0,198000.0,213000.0,220000.0,226000.0,207000.0,232000.0,220000.0,243000.0,200000.0,226000.0,252000.0,250000.0,250000.0,250000.0,252000.0,254000.0,257000.0,259000.0,261000.0,263000.0,272000.0,288000.0,277000.0,287000.0,280000.0,356000.0,340000.0,394000.0
9,Malawi,38921.0,176000.0,122000.0,172000.0,153000.0,149000.0,151000.0,129000.0,175000.0,167000.0,184000.0,160000.0,170000.0,181000.0,218000.0,165000.0,196000.0,209000.0,181000.0,229000.0,224000.0,204000.0,185000.0,202000.0,198000.0,172000.0,188000.0,198000.0,220000.0,210000.0
10,Iran (Islamic Republic of),37091.0,248233.65,245338.0,254288.0,248228.0,242642.0,277188.0,309342.0,270443.0,275381.0,222652.5,228393.3,212538.2,212167.9,134179.0,197270.4,112802.5,162737.0,141160.0,130714.0,121041.0,112083.8,103890.0,97474.8,72277.0,196957.0,123662.4,100580.0,99245.03,90832.32
11,Uganda,6704.0,39000.0,41000.0,53000.0,59000.0,55000.0,76000.0,92000.0,113000.0,108000.0,127000.0,143000.0,172000.0,160000.0,155000.0,164000.0,149000.0,195000.0,186000.0,212000.0,214000.0,153000.0,252000.0,265000.0,284000.0,255000.0,234000.0,218000.0,323000.0,262000.0
12,United Republic of Tanzania,18090.0,85000.0,96000.0,97000.0,108000.0,106000.0,104000.0,111000.0,95000.0,109000.0,103000.0,111000.0,107000.0,120000.0,131000.0,133000.0,132000.0,136000.0,151000.0,149000.0,144000.0,139000.0,143000.0,147000.0,146000.0,155000.0,142000.0,117000.0,148000.0,162000.0
13,Japan,89900.0,87800.0,92100.0,92100.0,86300.0,84800.0,88600.0,91200.0,82600.0,88500.0,85000.0,85000.0,84000.0,91900.0,100700.0,100000.0,91800.0,94100.0,96500.0,86000.0,85000.0,82100.0,85900.0,84800.0,83600.0,79500.0,80200.0,82000.0,86300.0,81700.0
14,Myanmar,14900.0,47300.0,50200.0,53700.0,51900.0,52400.0,54600.0,65800.0,60500.0,61700.0,63000.0,67200.0,69200.0,73400.0,75600.0,79000.0,83000.0,87000.0,90000.0,92600.0,94500.0,92500.0,94600.0,96300.0,98600.0,100150.0,102404.0,104746.0,143571.26,132494.0
15,Rwanda,12854.0,59000.0,59000.0,49000.0,18000.0,24000.0,39000.0,58000.0,65000.0,56000.0,63000.0,77000.0,65000.0,67000.0,63000.0,72000.0,74000.0,89000.0,87000.0,89000.0,97000.0,105000.0,98000.0,96000.0,108000.0,110000.0,111000.0,121000.0,135000.0,134378.13
16,Zimbabwe,17000.0,63000.0,40000.0,61000.0,58000.0,65000.0,73000.0,74000.0,76000.0,81000.0,96000.0,97000.0,98000.0,98000.0,97000.0,97000.0,69000.0,63000.0,61000.0,61000.0,61000.0,62000.0,64000.0,59000.0,59000.0,61000.0,66000.0,67000.0,68000.0,66000.0
17,Nepal,1249.0,6000.0,7000.0,9000.0,10000.0,11000.0,12000.0,13000.0,13000.0,20000.0,22000.0,29000.0,33000.0,36000.0,51000.0,54000.0,57000.0,66000.0,70000.0,70000.0,72000.0,76000.0,81000.0,90000.0,93000.0,93000.0,104000.0,107000.0,108000.0,110000.0
18,Thailand,6500.0,8500.0,11000.0,13500.0,16000.0,18500.0,22000.0,25000.0,28000.0,30000.0,32327.0,33494.0,36321.0,43333.0,51817.0,51570.0,53782.0,57362.0,61557.0,63707.0,67241.0,73320.0,71732.78,68013.0,40324.0,49054.0,64733.58,79392.95,93083.57,96537.09
19,Burundi,4040.0,23100.0,26000.0,24000.0,30000.0,30400.0,24500.0,18000.0,29000.0,30000.0,34060.0,44400.0,33234.0,35225.0,37523.0,39335.0,30836.0,33676.0,31787.0,31828.0,37875.0,40853.0,42147.0,41817.0,53893.0,53802.0,52701.0,46300.0,49500.0,49500.0
20,Georgia,0.0,0.0,50000.0,77000.0,61700.0,38500.0,34000.0,33200.0,47234.0,60330.0,24000.0,23000.0,24000.0,24457.0,20000.0,22755.0,6600.0,7500.0,5400.0,5800.0,3500.0,2900.0,2600.0,3300.0,1800.0,2100.0,3000.0,2300.0,1700.0,2000.0
21,"China, Taiwan Province of",22299.0,21380.0,20164.0,20515.0,24485.0,20892.0,23131.0,23505.0,22641.0,21119.0,20349.0,19837.0,20345.0,20675.0,20192.0,18803.0,19345.0,17502.0,17384.0,16780.0,17467.0,17310.0,14902.0,14718.0,15200.0,14405.0,13018.0,13443.0,14738.0,14637.0
22,Mozambique,4000.0,4941.0,4000.0,7000.0,9000.0,4000.0,7000.0,7000.0,7000.0,8000.0,10466.0,9029.0,12579.0,12690.0,15127.0,16000.0,16256.0,16256.0,16866.0,30000.0,28995.0,27000.0,22000.0,25428.0,28840.0,32000.0,32000.0,32000.0,31000.0,32000.0
23,Russian Federation,135700.0,119700.0,7240.0,7630.0,3960.0,4350.0,2380.0,1630.0,1480.0,1930.0,1520.0,1240.0,1290.0,870.0,1240.0,1260.0,1150.0,630.0,820.0,630.0,370.0,267.0,90.0,90.0,222.3,245.6,449.0,554.0,504.0,298.0
24,Malaysia,6200.0,7000.0,5900.0,6000.0,5400.0,6000.0,6000.0,6000.0,4600.0,5900.0,5642.0,5413.0,5100.0,4125.0,3900.0,2850.0,6213.0,5540.0,9548.0,7223.0,19738.0,16632.0,14711.0,12094.0,11923.0,11130.2,11708.0,10385.0,10808.0,6621.18
25,South Africa,12441.0,11128.0,9801.0,10532.0,11316.0,11975.0,9062.0,8207.0,13010.0,12077.0,12514.0,12671.0,12500.0,12143.0,4279.0,21780.0,3328.0,6333.43,3290.0,1743.0,1647.0,1795.0,870.0,2171.37,1989.53,1858.07,1715.62,1854.41,1809.37,1793.13
26,Papua New Guinea,6985.0,8500.0,9000.0,8700.0,8500.0,4699.0,5113.0,5156.0,7260.0,6200.0,6200.0,6100.0,6200.0,6400.0,6500.0,6600.0,6600.0,6500.0,6000.0,6400.0,6217.13,5779.01,5664.17,5586.53,5528.15,5481.12,5440.8,5467.7,5590.44,5608.4
27,Ethiopia,0.0,0.0,0.0,1700.0,1800.0,1900.0,1954.13,2000.0,2700.0,3608.0,3776.0,3973.0,3900.0,4360.0,4400.0,4800.0,5330.05,5700.0,5400.0,6533.98,7566.5,8973.56,9933.32,9930.42,10136.58,10420.17,10646.75,10401.17,10489.36,10512.43
28,Brazil,9813.0,10389.0,6019.0,10587.0,9807.0,8607.0,6181.0,6156.0,5807.0,7020.0,8400.0,8337.0,8687.0,5559.0,5347.0,4473.0,4052.0,1083.0,4752.0,4686.0,4278.0,3520.0,1496.0,763.0,1421.0,633.0,459.0,459.0,483.0,475.0
29,Cameroon,2900.0,3000.0,3416.0,3902.0,3567.0,3873.0,3581.0,4190.0,3944.0,4597.0,4004.0,4200.0,4000.0,3401.0,4000.0,4354.35,4678.03,4903.19,5127.65,6000.0,5532.5,5052.37,5082.08,5160.97,5239.86,5318.74,5397.63,5484.91,5582.72,5554.16
30,Peru,1648.0,1648.0,1394.0,1743.0,7155.0,5510.0,9403.0,10431.0,7397.0,6964.0,6259.0,6478.0,6349.0,5634.0,1548.0,4236.0,4820.0,3597.0,4009.0,3169.0,3214.0,3158.0,3434.04,4319.47,3874.0,3785.0,3307.47,2177.0,1084.85,1600.1
31,Azerbaijan,0.0,0.0,22600.0,24000.0,19400.0,9410.0,3030.0,1634.0,863.0,2730.0,1082.0,1424.0,1440.0,944.0,1048.0,737.0,655.0,484.0,323.0,447.0,545.0,534.0,568.0,568.0,474.0,579.0,1015.7,775.2,868.6,929.4
32,Lao People's Democratic Republic,1616.0,1705.0,1000.0,1475.0,1943.0,764.0,101.0,110.0,260.0,350.0,307.0,160.0,172.0,225.0,320.0,300.0,153.0,260.0,560.0,1165.0,2600.0,3580.0,3975.0,6105.0,7935.0,6295.0,7300.0,7660.0,8055.0,8496.14
33,Democratic Republic of the Congo,3114.0,3250.0,3120.0,3352.0,3405.0,3418.0,3431.0,3433.0,3328.0,2183.0,1879.0,1615.0,1389.0,1560.0,1560.0,1570.0,1760.0,1760.0,2220.0,2489.0,2479.0,3129.0,2889.01,1910.56,1656.14,1446.78,1272.09,1152.03,4407.0,4427.0
34,Mauritius,5751.0,5918.0,5845.0,5931.0,5089.0,3785.0,2497.0,1787.0,1488.0,1473.0,1312.0,1517.0,1381.0,1436.0,1482.0,1387.0,1567.0,1563.0,1668.0,1481.0,1467.0,1787.0,1577.0,1563.0,1504.0,1295.0,1353.0,1379.0,1470.0,1583.0
35,Ecuador,2428.0,2036.0,1574.0,1489.0,1762.0,1836.0,2228.0,1866.0,1572.0,1572.0,1211.0,1320.0,815.0,1086.0,1166.0,1855.0,1870.0,1925.0,1950.0,1818.62,1607.61,1604.92,1595.81,1598.38,1608.53,1623.59,1641.84,1605.59,1623.67,1623.7
36,Republic of Korea,254.0,726.0,700.0,733.55,765.1,699.0,947.0,1000.0,1470.0,1109.0,1434.0,1351.0,1477.0,1500.0,1500.0,1400.0,1400.0,1300.0,2200.0,2400.0,2312.08,2165.62,2177.74,2224.49,2271.24,2317.98,2364.73,2317.98,2333.56,2338.76
37,Bolivia (Plurinational State of),500.0,540.0,550.0,590.0,675.0,690.0,710.0,735.0,735.0,810.0,840.0,840.0,850.0,850.0,847.0,866.0,872.0,889.0,904.0,1245.0,1338.7,1355.87,1357.69,1339.41,1196.0,1243.0,1251.0,1177.0,1192.44,1203.0
38,Zambia,560.0,570.0,500.0,530.0,500.0,450.0,500.0,550.0,650.0,1000.0,850.0,550.0,750.0,659.39,800.0,774.15,750.0,780.87,802.16,821.63,841.79,861.73,900.0,900.0,910.63,931.05,921.2,941.03,931.09,931.11
39,Guatemala,460.0,450.0,432.01,440.0,431.67,450.0,429.12,425.4,432.81,460.0,450.0,102.83,143.15,176.3,146.96,266.29,281.23,648.79,678.91,639.46,628.23,431.82,419.57,437.26,526.17,553.38,557.92,545.82,552.37,552.04
40,El Salvador,20.0,20.0,10.0,20.0,50.0,50.0,70.0,130.0,200.0,200.0,300.0,350.0,250.0,250.0,260.0,270.0,270.0,500.0,2200.0,500.0,450.0,450.0,460.0,475.0,645.59,717.61,620.17,693.23,677.0,628.96
41,Madagascar,280.0,332.53,290.0,400.0,300.0,336.87,339.7,320.0,312.0,400.0,490.0,441.0,516.0,570.0,365.0,351.0,353.0,374.0,246.0,309.12,380.69,380.41,381.52,382.64,383.76,384.87,385.99,390.14,393.63,397.36
42,Réunion,359.0,360.0,370.0,389.0,403.0,417.0,431.0,445.0,460.0,475.0,491.0,507.0,524.0,541.0,560.0,580.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Seychelles,219.0,241.0,224.0,246.0,246.0,226.0,223.0,270.0,250.0,236.0,246.0,231.0,222.0,261.0,214.0,219.0,189.0,222.0,137.0,63.0,49.0,38.0,28.0,21.0,27.0,16.0,17.0,13.0,10.49,10.54
44,Mali,159.0,92.0,115.0,277.0,196.0,202.0,69.0,50.0,60.0,76.39,74.94,50.0,70.0,90.0,110.0,135.0,135.0,135.0,121.6,118.57,108.86,103.75,98.71,89.0,89.0,89.1,95.66,91.39,92.05,93.04
45,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,72.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,134.0,134.0,134.0,134.4,124.8,144.0,148.8,148.8,132.0,157.0,159.0
46,Portugal,184.0,129.0,69.0,21.0,40.0,82.0,63.0,25.0,24.0,120.0,102.16,105.82,105.0,116.0,125.0,112.0,115.0,125.0,125.0,125.0,120.03,69.56,57.14,57.92,61.54,89.47,83.79,78.27,0.0,0.0
47,Ethiopia PDR,500.0,550.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
49,Panama,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
